CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
IGF1R,0.21802417689994116,0.000001,0.000001,0.99531,0.86203,2.738509134,-1.7161316599,0.8774847357899053
IGF2R,0.03802220885635053,0.15883361432594054,0.000001,0.14522,0.70508,0.943817211,-1.9287485557,0.22107992199929297
IHH,0.0838879033461822,0.059071551384332954,0.000001,0.6846,0.59447,3.011987763,-0.2258429198,0.1223312777038733
IL12B,0.012791994464859993,0.7528103518362631,0.000001,0.12577,0.76885,-0.369199053,0.4409995479,0.7273321525229842
IL12RB1,0.006424048989402949,0.821916330001015,0.000001,0.09525,0.32934,-0.498069376,0.4096506958,0.7740721930869896
IL17F,0.610443080562084,0.000001,0.000001,0.07673,0.3844,0.000001,0.3050845594,0.7113981324136609
IL1B,0.05063944744249247,0.08173135543783683,0.000001,0.06986,0.99162,0.197576038,-0.3838075643,0.19090942698843344
IL2RA,0.01257478640607046,0.6645687542929137,0.000001,0.06341,0.69509,-0.705582883,-0.6042718101,0.6849593124462707
IL2RG,0.000001,0.015590880241379973,0.8367287798665397,0.14057,0.55422,1.392635199,-0.2294837713,0.6814639363831095
INSR,0.09386732732773218,0.015835014750399855,0.000001,0.99973,0.94105,3.706756079,-2.1405954752,0.8818236832299754
IRF6,0.7123444758553668,0.012638555647287511,0.000001,0.81383,0.41336,2.172924523,-0.1835708609,0.07953565429623947
JUP,0.04093122237915245,0.000001,0.000001,0.98957,0.33762,1.18465027,-1.6571764939,0.14127224396223972
KAT6B,0.7581963270749913,0.000001,0.000001,0.81242,0.19371,2.331615825,-2.3832533712,0.7061733451940005
KCNA1,0.6941159479882999,0.0624673170857301,0.000001,0.68837,0.29918,3.317921844,-0.5583574367,0.6979752972981633
KCNE3,0.6327280276365593,0.055159092692740046,0.000001,0.13222,0.12708,0.000001,0.1912161639,0.6141001802902534
KCNH2,0.7538945299181763,0.00637332139369295,0.000001,0.70537,0.29759,3.561511951,-1.4605198606,0.707396823194869
KCNJ1,0.000001,0.802341622112738,0.000001,0.10703,0.24116,-0.597578112,-0.468351206,0.6557735164345584
KCNJ11,0.03111494702452345,0.09113312212181916,0.000001,0.21623,0.42074,1.308796903,0.2425826239,0.7880849459939793
KCNJ2,0.7159817648872014,0.000001,0.000001,0.42866,0.22085,2.001585924,-0.5822252308,0.6490645419091866
KCNJ5,0.5733783021145666,0.031592399462462575,0.000001,0.14572,0.16657,1.439015538,-0.5344905146,0.6874788937705169
KCNK18,0.006362661422306559,0.012434287553598898,0.000001,0.20918,0.10825,-0.011773062,0.3546327142,0.019009141881062598
