CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
ARHGEF10,0.6865347230013245,0.051921205419343364,0.000001,0.000001,0.000001,-1.234800463,-1.0162864212,0.0805793156118531
ARID1A,0.6601690393673985,0.05021622296340946,0.000001,0.54895,0.15082,2.886948616,-2.670076378,0.0
ARID1B,0.6135967526835971,0.037408140254035153,0.000001,0.15152,0.12645,2.897059403,-2.6223924476,0.029392334390761818
ARMC5,0.6267867465583425,0.035967828795028786,0.000001,0.000001,0.000001,2.769996716,0.2516824375,0.008515545901084108
ASCC1,0.5599843757911672,0.03040884293153718,0.000001,0.06665,0.07613,0.830515564,0.7955690428,0.006356354187804405
ASCL1,0.8838111014201101,0.012636079149663842,0.000001,0.85612,0.47584,2.552142968,0.000001,0.7324714022758658
ASIP,0.5862170935326058,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.0
ASXL1,0.6250531030209753,0.03241436764257786,0.000001,0.14735,0.07872,0.554757186,0.1744255697,0.021079711322292707
ASXL3,0.6743176021472669,0.08573040533613285,0.000001,0.000001,0.000001,1.226349574,-0.6652492599,0.06202311221203319
ATL1,0.6486350596510633,0.034600500671781415,0.000001,0.58111,0.15924,2.237466254,-0.5822252308,0.0
ATL3,0.6641321831042997,0.006387278332991944,0.000001,0.000001,0.000001,1.758670561,-0.1376585754,0.01896267698255722
ATN1,0.6363481121134495,0.05473776686336157,0.000001,0.48946,0.52345,1.849329577,-0.9479381645,0.15086620707550844
ATP1A3,0.7639260508501775,0.000001,0.000001,0.93219,0.18422,5.610763408,-1.5303019574,0.7023060896712596
ATP2A2,0.6380687671887703,0.000001,0.000001,0.26556,0.46129,3.944348848,-1.5964553144,0.024332849822315577
ATP2C1,0.6535503751649338,0.000001,0.000001,0.90393,0.20899,2.672157486,-0.290161348,0.02208503862806549
ATXN1,0.7804199711807652,0.022066431059622242,0.000001,0.97273,0.42931,1.552276396,-0.5235849273,0.03857626234578243
ATXN10,0.6376903490340907,0.054729696154244764,0.000001,0.16218,0.16168,-1.673175824,-1.0231683683,0.09106954492132008
ATXN2,0.6570967926832871,0.000001,0.000001,0.9014,0.25008,1.464547261,-0.9956649357,0.03839872340670991
ATXN3,0.6416281880813386,0.07689607142297158,0.000001,0.15932,0.34757,0.669364006,0.2830380993,0.16532589314775314
ATXN7,0.6977546256383184,0.15389036583611426,0.000001,0.40116,0.43982,0.47604625,0.2057693671,0.22868442280642115
AUTS2,0.6368552089809286,0.000001,0.000001,0.83083,0.1075,3.296416461,-1.9677399918,0.0
AXIN2,0.621860468342189,0.06520007547735923,0.000001,0.32472,0.28913,0.45231041,0.321464691,0.1245548547692841
BAG3,0.7018055706896369,0.053200197474462016,0.000001,0.5912,0.21092,0.71174545,0.1139450489,0.05912826890960841
BAP1,0.6495914397390653,0.006322745260946963,0.000001,0.27232,0.10613,2.122533054,-0.9754338633,0.6028662155962392
BARD1,0.6618590533046356,0.11656888096459103,0.000001,0.72203,0.28245,1.099218445,0.9351298125,0.09727337916269514
BCL11A,0.6530340436873049,0.015999009123174618,0.000001,0.66876,0.16967,4.641735253,-1.1554578276,0.04110481446277762
BCR,0.7231400339923304,0.03872518628676356,0.000001,0.27882,0.76444,3.643119999,-1.2530151163,0.7914332123554678
BDNF,0.6865297184772795,0.029836636481347444,0.000001,0.000001,0.000001,2.245382741,0.4373644605,0.6216666463974261
BEAN1,0.6731737964338859,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.019244891464734955
BEST1,0.6904818853945213,0.0750552490250983,0.000001,0.1336,0.15669,-1.446775783,-0.2185654301,0.009598907103702625
BHLHE41,0.6695450238536849,0.000001,0.000001,0.000001,0.000001,2.339020031,0.000001,0.0191239380722068
BICC1,0.6121630802866322,0.029165825390232894,0.000001,0.20727,0.11765,1.820258214,0.6026029817,0.5272837293189491
BLK,0.6539969836057593,0.10730335693075292,0.000001,0.18195,0.24392,-0.856065953,-0.3490256395,0.11861906908125809
BMP2,0.7730515186605921,0.11503909822122106,0.000001,0.99953,0.77481,1.048877443,-0.2699351402,0.11715321185420044
BMP4,0.6300643331290466,0.049345589309105396,0.000001,0.99178,0.93124,2.644962409,0.3271310692,0.06010634882400205
BMPR1A,0.6707977858975949,0.028768526593728562,0.000001,0.98203,0.5392,1.732096303,-0.4040327464,0.040410323089715205
BMPR2,0.7114007749140663,0.04604645883518663,0.000001,0.85302,0.5014,1.357419243,-0.9313380396,0.8098619357012901
BMS1,0.6122856223419266,0.08873141433733336,0.000001,0.000001,0.000001,0.731671823,0.0991786778,0.033330934549134515
BRAF,0.6097316363673931,0.024764508446841936,0.000001,0.000001,0.000001,3.287339913,-0.6042718101,0.6023231531243936
BRCA1,0.6989267650387125,0.06436571853548058,0.000001,0.99897,0.94795,-0.420634577,0.4646954134,0.16114797387566823
C1QTNF5,0.6513267156647324,0.000001,0.000001,0.000001,0.000001,2.695510119,0.000001,0.019124390845526505
CA4,0.5687183968877695,0.06634217482670006,0.000001,0.08533,0.2164,0.843459445,0.2187175749,0.042716089714473444
CACNA1A,0.7971123559406382,0.06810119194940459,0.000001,0.58636,0.55905,0.000001,-1.7822986937,0.7383218052803928
CACNA1C,0.7647907073829527,0.0402091898815181,0.000001,0.66288,0.13071,6.032544634,-2.0875414842,0.7205102834908669
CACNA1S,0.6998140582271567,0.07175996308671696,0.000001,0.000001,0.000001,0.09798448,-1.2094200198,0.7189190041206016
CACNB2,0.6384175721945161,0.02566546102065139,0.000001,0.18213,0.15589,0.794344182,-0.7054107958,0.6145691934041763
CACNB4,0.6464145240243491,0.006330583523247356,0.000001,0.19944,0.13941,2.934621753,0.0828027428,0.669941485342793
CACNG2,0.7113852625776743,0.000001,0.000001,0.63044,0.17219,3.238183861,-0.1633450269,0.018666493626511342
CALM1,0.5776729445517399,0.006377384298500606,0.000001,0.000001,0.000001,0.000001,0.0350720539,0.6516586406877912
CALM2,0.6197642801486676,0.025442513930194175,0.000001,0.69728,0.32162,0.000001,0.1232582101,0.6359165389963594
CALR3,0.5690838185085815,0.02490079840908411,0.000001,0.000001,0.000001,0.104941461,0.154398214,0.6690988852361329
CAMTA1,0.6343907164275158,0.06407748935674618,0.000001,0.000001,0.000001,2.78887848,-2.1334437647,0.04606107521413493
CARD14,0.6675705593690452,0.10681556009778136,0.000001,0.09251,0.12826,0.000428722,0.8854361119,0.06767938252415649
CASP10,0.6464539323491097,0.03290712239934132,0.000001,0.000001,0.000001,0.826955875,-0.0899272547,0.6804359567826567
CBL,0.7010702226161193,0.04632246679138169,0.000001,0.9967,0.47784,1.006168098,-1.0415783763,0.7269203446186385
CCDC137,0.5391784019244087,0.012839392711927336,0.000001,0.0402,0.09039,0.502161945,1.0637787221,0.015864827282792843
CCDC28B,0.7380678118203806,0.03322801373793972,0.000001,0.17087,0.18345,1.039390933,0.2591737101,0.0
CCDC50,0.6770772961633688,0.000001,0.000001,0.0469,0.09305,0.812869908,1.2640359066,0.03474116523242727
CCDC88C,0.7057885989589424,0.07750637191941466,0.000001,0.12404,0.10177,1.47383121,1.1427135759,0.057141848546161465
CCM2,0.6242189225297414,0.03569057116146123,0.000001,0.17979,0.11593,0.439075891,-0.3765268066,0.6351987300537631
CCND2,0.7342706949302197,0.02974457444983734,0.000001,0.93215,0.74954,2.490900292,-0.1853912816,0.08062028558167579
CD207,0.6648116833492682,0.06818276833418663,0.000001,0.03809,0.16044,0.013340818,0.000001,0.030917718642128878
CD4,0.8261769084592057,0.04536271589189756,0.000001,0.44678,0.98357,1.308943466,0.5750976438,0.07926855785984624
